174,153,Chipata,-13.6296,32.64,Chipata,CIP,Chipata,Zambia
178,153,Chingola,-12.5396,27.85,Chingola,CGJ,Chingola,Zambia
180,153,Kitwe,-12.81,28.22,Kitwe,KIW,Southdowns,Zambia
184,153,Lukulu,-14.3896,23.24,Lukulu,LXU,Lukulu,Zambia
7482,65,Allahabad,25.455,81.84,Allahabad,IXD,Bamrauli,India
187,153,Mansa,-11.2,28.89,Mansa,MNS,Mansa,Zambia
190,153,Kalabo,-14.9896,22.68,Kalabo,KLB,Kalabo,Zambia
9539,195,Alliance,42.1021,-102.8768,Alliance,AIA,Alliance,United States
11832,195,Alliance,40.9107,-81.1189,Alliance,AIA,Alliance,United States
194,153,Ndola,-12.9999,28.65,Ndola,NLA,Ndola,Zambia
10739,195,Alma,35.4914,-94.2183,Alma,AMN,Gratiot Community,United States
10739,195,Alma,35.4914,-94.2183,Alma,YTF,Alma,Canada
12475,195,Alma,43.38,-84.6556,Alma,AMN,Gratiot Community,United States
12475,195,Alma,43.38,-84.6556,Alma,YTF,Alma,Canada
195,153,Kasama,-10.1996,31.1799,Kasama,KAA,Kasama,Zambia
196,153,Mbala,-8.84,31.37,Mbala,MMQ,Mbala,Zambia
330,24,Almaty,43.325,76.915,Almaty,ALA,Almaty,Kazakhstan
331,72,Almaty,43.325,76.915,Almaty,ALA,Almaty,Kazakhstan
199,153,Mongu,-15.2796,23.12,Mongu,MNR,Mongu,Zambia
4968,198,Almenara,-16.17,-40.7,Almenara,AMJ,Almenara,Brazil
202,153,Livingstone,-17.86,25.86,Livingstone,LVI,Livingstone,Zambia
6549,45,Almeria,36.8303,-2.43,Almeria,LEI,Almeria,Spain
205,154,Kariba,-16.5296,28.8,Kariba,KAB,Kariba,Zimbabwe
206,154,Hwange,-18.37,26.5,Hwange,WKI,Hwange,Zimbabwe
1230,80,Alor Setar,6.1133,100.3729,Alor Setar,AOR,Alor Setar,Malaysia
211,154,Harare,-17.8178,31.0447,Harare,HRE,Harare,Zimbabwe
217,154,Mutare,-18.97,32.65,Mutare,UTA,Mutare,Zimbabwe
218,154,Gweru,-19.45,29.82,Gweru,GWE,Gweru,Zimbabwe
12366,195,Alpena,45.0745,-83.4383,Alpena,APN,Alpena County Regional,United States
220,154,Masvingo,-20.0596,30.82,Masvingo,MVZ,Masvingo,Zimbabwe
221,154,Bulawayo,-20.17,28.58,Bulawayo,BUQ,Bulawayo,Zimbabwe
9228,195,Alpine,30.364,-103.6651,Alpine,ALE,Alpine,United States
12033,195,Alpine,40.4621,-111.7728,Alpine,ALE,Alpine,United States
5144,198,Alta Floresta,-9.9,-55.91,Alta Floresta,AFL,Alta Floresta,Brazil
5223,198,Altamira,-3.1996,-52.21,Altamira,ATM,Altamira,Brazil
872,82,Altay,46.3722,96.2583,Altay,AAT,Altay,China
6011,61,Altay,47.8666,88.1166,Altay,AAT,Altay,China
9238,195,Alton,26.2887,-98.3105,Alton,ALN,Alton,United States
11052,195,Alton,38.9033,-90.1523,Alton,ALN,Alton,United States
11513,195,Altus,34.6566,-99.3051,Altus,LTS,Altus AFB,United States
11513,195,Altus,34.6566,-99.3051,Altus,AXS,Municipal,United States
3096,111,Am Timan,11.0333,20.2833,Am Timan,AMC,Am Timan,Guam
7218,66,Amahai,-3.3281,128.9405,Amahai,AHI,Amahai,Indonesia
9086,195,Amarillo,35.1999,-101.8297,Amarillo,AMA,International,United States
9086,195,Amarillo,35.1999,-101.8297,Amarillo,TDW,Tradewind,United States
777,130,Ambanja,-13.6829,48.45,Ambanja,IVA,Ambanja,Madagascar
6405,201,Ambato,-1.2696,-78.62,Ambato,ATF,Chachoan,Ecuador
790,130,Ambatondrazaka,-17.8329,48.4167,Ambatondrazaka,WAM,Ambatondrazaka,Madagascar
10049,195,Ambler,40.1564,-75.2215,Ambler,ABL,Ambler,United States
7254,66,Ambon,-3.7167,128.2,Ambon,AMQ,Pattimura,Indonesia
4099,103,Ambriz,-7.855,13.125,Ambriz,AZZ,Ambriz,Angola
2120,40,Amderma,69.763,61.6677,Amderma,AMV,Amderma,Russian Federation
318,24,Astana,51.1811,71.4278,Astana,TSE,Astana,Kazakhstan
319,72,Astana,51.1811,71.4278,Astana,TSE,Astana,Kazakhstan
322,24,Kokshetau,53.3,69.42,Kokshetau,KOV,Kokshetau,Kazakhstan
323,72,Kokshetau,53.3,69.42,Kokshetau,KOV,Kokshetau,Kazakhstan
11442,195,Ames,42.0262,-93.6275,Ames,AMW,Ames,United States
9738,195,Amityville,40.6696,-73.4156,Amityville,AYZ,Zahns,United States
7805,71,Amman,31.95,35.9333,Amman,ADJ,Civil - Marka Airport,Jordan
7805,71,Amman,31.95,35.9333,Amman,AMM,Queen Alia Intl,Jordan
7806,162,Amman,31.95,35.9333,Amman,ADJ,Civil - Marka Airport,Jordan
7806,162,Amman,31.95,35.9333,Amman,AMM,Queen Alia Intl,Jordan
5494,177,Amos,48.5666,-78.1167,Amos,YEY,Amos,Canada
7514,65,Amritsar,31.64,74.87,Amritsar,ATQ,Raja Sansi,India
348,24,Ekibastuz,51.73,75.3199,Ekibastuz,EKB,Ekibastuz,Kazakhstan
349,72,Ekibastuz,51.73,75.3199,Ekibastuz,EKB,Ekibastuz,Kazakhstan
